Age,Gender,Height_cm,Weight_kg,Desired_Weight_kg,Time_Period_weeks,BMI,BMR,Daily_Calories_Maintenance,Daily_Calories_Target,Breakfast,Lunch,Dinner,Snack
43,Male,175,117,120,14,38.2,2053.75,3183.31,3419.03,Smoothie,Rice and beans,Tofu curry,Hummus with carrots
54,Male,157,82,72,10,33.27,1536.25,2381.19,1281.19,Smoothie,Rice and beans,Steak with veggies,Nuts and fruits
43,Female,185,73,67,19,21.33,1510.25,2340.89,1993.52,Greek yogurt,Sushi,Tofu curry,Protein bar
40,Female,197,110,105,16,28.34,1970.25,3053.89,2710.14,Eggs and toast,Grilled chicken salad,Vegetable stir-fry,Cheese and crackers
26,Female,179,110,111,18,34.33,1927.75,2988.01,3049.12,Eggs and toast,Rice and beans,Salmon and quinoa,Hummus with carrots
29,Male,172,77,65,19,26.03,1705.0,2642.75,1948.01,Smoothie,Burrito bowl,Vegetable stir-fry,Dark chocolate
18,Female,191,107,94,24,29.33,2012.75,3119.76,2523.93,Eggs and toast,Pasta with veggies,Chicken soup,Hummus with carrots
18,Male,193,92,92,12,24.7,2041.25,3163.94,3163.94,Smoothie,Rice and beans,Chicken soup,Protein bar
64,Female,163,90,78,6,33.87,1437.75,2228.51,28.51,Pancakes,Grilled chicken salad,Tofu curry,Protein bar
51,Male,163,88,88,22,33.12,1648.75,2555.56,2555.56,Greek yogurt,Rice and beans,Tofu curry,Nuts and fruits
49,Male,151,98,100,23,42.98,1683.75,2609.81,2705.46,Oatmeal with fruits,Pasta with veggies,Steak with veggies,Nuts and fruits
42,Female,186,66,60,8,19.08,1451.5,2249.83,1424.83,Greek yogurt,Grilled chicken salad,Steak with veggies,Protein bar
57,Female,154,119,106,13,50.18,1706.5,2645.08,1545.08,Smoothie,Sushi,Chicken soup,Cheese and crackers
62,Female,187,119,123,20,34.03,1887.75,2926.01,3146.01,Smoothie,Grilled chicken salad,Salmon and quinoa,Cheese and crackers
18,Female,194,114,103,18,30.29,2101.5,3257.32,2585.1,Greek yogurt,Sushi,Vegetable stir-fry,Dark chocolate
33,Male,190,54,49,11,14.96,1567.5,2429.62,1929.62,Smoothie,Grilled chicken salad,Steak with veggies,Nuts and fruits
56,Female,196,51,46,18,13.28,1294.0,2005.7,1700.14,Eggs and toast,Pasta with veggies,Steak with veggies,Dark chocolate
22,Female,163,71,61,24,26.72,1457.75,2259.51,1801.18,Eggs and toast,Pasta with veggies,Salmon and quinoa,Nuts and fruits
39,Female,188,106,110,17,29.99,1879.0,2912.45,3171.27,Smoothie,Grilled chicken salad,Salmon and quinoa,Protein bar
46,Male,174,115,119,23,37.98,2012.5,3119.38,3310.68,Smoothie,Rice and beans,Tofu curry,Cheese and crackers
20,Male,169,65,63,10,22.76,1611.25,2497.44,2277.44,Eggs and toast,Pasta with veggies,Vegetable stir-fry,Cheese and crackers
29,Female,151,100,93,24,43.86,1637.75,2538.51,2217.68,Smoothie,Sushi,Salmon and quinoa,Protein bar
43,Male,188,88,84,15,24.9,1845.0,2859.75,2566.42,Smoothie,Sushi,Steak with veggies,Dark chocolate
33,Female,155,89,87,20,37.04,1532.75,2375.76,2265.76,Greek yogurt,Burrito bowl,Steak with veggies,Dark chocolate
54,Male,166,87,89,20,31.57,1642.5,2545.88,2655.88,Oatmeal with fruits,Sushi,Chicken soup,Hummus with carrots
39,Male,174,109,100,13,36.0,1987.5,3080.62,2319.09,Eggs and toast,Burrito bowl,Salmon and quinoa,Nuts and fruits
46,Male,177,108,113,22,34.47,1961.25,3039.94,3289.94,Greek yogurt,Grilled chicken salad,Tofu curry,Dark chocolate
31,Male,151,59,54,17,25.88,1383.75,2144.81,1821.28,Oatmeal with fruits,Grilled chicken salad,Vegetable stir-fry,Protein bar
45,Female,184,113,112,14,33.38,1894.0,2935.7,2857.13,Smoothie,Grilled chicken salad,Tofu curry,Dark chocolate
22,Female,186,112,101,5,32.37,2011.5,3117.82,697.83,Smoothie,Rice and beans,Steak with veggies,Cheese and crackers
64,Female,154,98,84,21,41.32,1461.5,2265.33,1531.99,Greek yogurt,Rice and beans,Tofu curry,Nuts and fruits
47,Male,150,113,101,10,50.22,1837.5,2848.12,1528.12,Smoothie,Burrito bowl,Steak with veggies,Hummus with carrots
63,Female,189,81,75,15,22.68,1515.25,2348.64,1908.64,Pancakes,Sushi,Steak with veggies,Nuts and fruits
22,Female,161,56,53,5,21.6,1295.25,2007.64,1347.64,Greek yogurt,Sushi,Steak with veggies,Cheese and crackers
29,Female,185,70,71,23,20.45,1550.25,2402.89,2450.71,Oatmeal with fruits,Grilled chicken salad,Steak with veggies,Cheese and crackers
33,Male,194,69,65,21,18.33,1742.5,2700.88,2491.35,Greek yogurt,Pasta with veggies,Steak with veggies,Cheese and crackers
43,Male,172,75,77,9,25.35,1615.0,2503.25,2747.69,Eggs and toast,Rice and beans,Chicken soup,Cheese and crackers
43,Male,196,117,118,13,30.46,2185.0,3386.75,3471.37,Greek yogurt,Rice and beans,Tofu curry,Protein bar
38,Female,180,64,60,23,19.75,1414.0,2191.7,2000.4,Smoothie,Grilled chicken salad,Chicken soup,Hummus with carrots
56,Female,160,63,58,18,24.61,1189.0,1842.95,1537.39,Smoothie,Rice and beans,Chicken soup,Cheese and crackers
53,Female,159,76,72,8,30.06,1327.75,2058.01,1508.01,Pancakes,Grilled chicken salad,Salmon and quinoa,Cheese and crackers
50,Male,152,89,87,23,38.52,1595.0,2472.25,2376.6,Pancakes,Burrito bowl,Salmon and quinoa,Dark chocolate
47,Male,163,107,111,6,40.27,1858.75,2881.06,3614.4,Pancakes,Sushi,Salmon and quinoa,Hummus with carrots
54,Female,165,77,75,8,28.28,1370.25,2123.89,1848.89,Oatmeal with fruits,Pasta with veggies,Vegetable stir-fry,Nuts and fruits
40,Male,159,75,65,11,29.67,1548.75,2400.56,1400.56,Pancakes,Sushi,Salmon and quinoa,Hummus with carrots
27,Male,178,112,113,11,35.35,2102.5,3258.88,3358.88,Oatmeal with fruits,Sushi,Tofu curry,Hummus with carrots
22,Male,159,115,118,11,45.49,2038.75,3160.06,3460.06,Pancakes,Burrito bowl,Chicken soup,Hummus with carrots
53,Male,161,74,68,15,28.55,1486.25,2303.69,1863.69,Oatmeal with fruits,Rice and beans,Tofu curry,Cheese and crackers
51,Female,179,52,45,11,16.23,1222.75,1895.26,1195.26,Greek yogurt,Pasta with veggies,Salmon and quinoa,Cheese and crackers
48,Male,190,93,86,14,25.76,1882.5,2917.88,2367.88,Greek yogurt,Rice and beans,Vegetable stir-fry,Protein bar
27,Male,150,91,87,17,40.44,1717.5,2662.12,2403.3,Smoothie,Sushi,Vegetable stir-fry,Nuts and fruits
36,Male,154,55,57,11,23.19,1337.5,2073.12,2273.12,Oatmeal with fruits,Grilled chicken salad,Chicken soup,Dark chocolate
49,Male,169,88,85,13,30.81,1696.25,2629.19,2375.34,Eggs and toast,Sushi,Tofu curry,Hummus with carrots
18,Female,157,101,105,10,40.98,1740.25,2697.39,3137.39,Smoothie,Rice and beans,Steak with veggies,Nuts and fruits
22,Female,192,72,59,20,19.53,1649.0,2555.95,1840.95,Greek yogurt,Sushi,Tofu curry,Nuts and fruits
62,Male,161,99,104,7,38.19,1691.25,2621.44,3407.15,Oatmeal with fruits,Grilled chicken salad,Salmon and quinoa,Protein bar
21,Male,150,92,91,16,40.89,1757.5,2724.12,2655.38,Pancakes,Burrito bowl,Steak with veggies,Dark chocolate
33,Male,169,68,57,7,23.81,1576.25,2443.19,714.62,Eggs and toast,Rice and beans,Vegetable stir-fry,Hummus with carrots
41,Male,177,118,121,8,37.66,2086.25,3233.69,3646.19,Greek yogurt,Sushi,Chicken soup,Dark chocolate
33,Male,192,100,86,25,27.13,2040.0,3162.0,2546.0,Smoothie,Rice and beans,Chicken soup,Protein bar
19,Male,186,60,46,7,17.34,1672.5,2592.38,392.38,Oatmeal with fruits,Burrito bowl,Vegetable stir-fry,Cheese and crackers
45,Female,196,61,64,21,15.88,1449.0,2245.95,2403.09,Eggs and toast,Sushi,Salmon and quinoa,Nuts and fruits
49,Male,186,57,60,9,16.48,1492.5,2313.38,2680.04,Oatmeal with fruits,Sushi,Vegetable stir-fry,Hummus with carrots
44,Female,161,73,62,25,28.16,1355.25,2100.64,1616.64,Pancakes,Rice and beans,Salmon and quinoa,Cheese and crackers
37,Female,186,90,89,5,26.01,1716.5,2660.58,2440.58,Smoothie,Rice and beans,Steak with veggies,Protein bar
41,Male,198,85,77,14,21.68,1887.5,2925.62,2297.05,Oatmeal with fruits,Grilled chicken salad,Vegetable stir-fry,Dark chocolate
29,Female,198,104,93,17,26.53,1971.5,3055.82,2344.06,Greek yogurt,Burrito bowl,Salmon and quinoa,Nuts and fruits
52,Female,193,58,46,8,15.57,1365.25,2116.14,466.14,Smoothie,Grilled chicken salad,Steak with veggies,Hummus with carrots
50,Female,177,96,89,9,30.64,1655.25,2565.64,1710.08,Greek yogurt,Sushi,Vegetable stir-fry,Cheese and crackers
50,Female,196,64,50,13,16.66,1454.0,2253.7,1069.08,Oatmeal with fruits,Rice and beans,Chicken soup,Cheese and crackers
60,Female,164,97,83,11,36.06,1534.0,2377.7,977.7,Smoothie,Sushi,Vegetable stir-fry,Nuts and fruits
54,Female,155,91,79,17,37.88,1447.75,2244.01,1467.54,Greek yogurt,Sushi,Tofu curry,Dark chocolate
29,Male,193,109,111,6,29.26,2156.25,3342.19,3708.85,Pancakes,Pasta with veggies,Vegetable stir-fry,Protein bar
20,Female,169,119,124,15,41.67,1985.25,3077.14,3443.8,Pancakes,Pasta with veggies,Tofu curry,Dark chocolate
18,Female,199,61,49,19,15.4,1602.75,2484.26,1789.53,Oatmeal with fruits,Sushi,Steak with veggies,Dark chocolate
50,Female,163,51,56,20,19.2,1117.75,1732.51,2007.51,Smoothie,Rice and beans,Vegetable stir-fry,Dark chocolate
57,Male,151,56,49,4,24.56,1223.75,1896.81,-28.19,Eggs and toast,Sushi,Steak with veggies,Nuts and fruits
27,Female,158,52,38,13,20.83,1211.5,1877.82,693.21,Smoothie,Pasta with veggies,Steak with veggies,Nuts and fruits
60,Male,186,52,38,13,15.03,1387.5,2150.62,966.01,Pancakes,Rice and beans,Salmon and quinoa,Protein bar
61,Female,169,76,72,24,26.61,1350.25,2092.89,1909.55,Greek yogurt,Sushi,Steak with veggies,Dark chocolate
46,Male,175,89,84,5,29.06,1758.75,2726.06,1626.06,Eggs and toast,Burrito bowl,Steak with veggies,Nuts and fruits
30,Male,178,82,79,12,25.88,1787.5,2770.62,2495.62,Oatmeal with fruits,Burrito bowl,Vegetable stir-fry,Protein bar
29,Female,150,50,47,25,22.22,1131.5,1753.82,1621.82,Eggs and toast,Sushi,Vegetable stir-fry,Protein bar
48,Female,184,57,58,16,16.84,1319.0,2044.45,2113.2,Oatmeal with fruits,Rice and beans,Chicken soup,Dark chocolate
63,Male,155,81,86,19,33.71,1468.75,2276.56,2566.04,Eggs and toast,Sushi,Salmon and quinoa,Hummus with carrots
19,Female,186,97,86,21,28.04,1876.5,2908.58,2332.38,Oatmeal with fruits,Sushi,Steak with veggies,Dark chocolate
52,Male,154,53,57,22,22.35,1237.5,1918.12,2118.12,Oatmeal with fruits,Pasta with veggies,Salmon and quinoa,Hummus with carrots
40,Male,182,119,112,15,35.93,2132.5,3305.38,2792.04,Eggs and toast,Burrito bowl,Tofu curry,Protein bar
34,Male,198,68,65,11,17.35,1752.5,2716.38,2416.38,Eggs and toast,Pasta with veggies,Steak with veggies,Nuts and fruits
43,Male,163,81,83,20,30.49,1618.75,2509.06,2619.06,Oatmeal with fruits,Pasta with veggies,Salmon and quinoa,Cheese and crackers
25,Male,161,58,59,18,22.38,1466.25,2272.69,2333.8,Pancakes,Sushi,Chicken soup,Protein bar
46,Female,191,61,56,13,16.72,1412.75,2189.76,1766.69,Eggs and toast,Pasta with veggies,Chicken soup,Nuts and fruits
43,Male,169,60,47,18,21.01,1446.25,2241.69,1447.24,Smoothie,Burrito bowl,Steak with veggies,Protein bar
27,Male,199,95,98,18,23.99,2063.75,3198.81,3382.15,Greek yogurt,Pasta with veggies,Tofu curry,Dark chocolate
43,Female,173,65,59,10,21.72,1355.25,2100.64,1440.64,Oatmeal with fruits,Burrito bowl,Chicken soup,Hummus with carrots
51,Male,192,50,37,16,13.56,1450.0,2247.5,1353.75,Oatmeal with fruits,Pasta with veggies,Chicken soup,Protein bar
58,Female,183,112,99,20,33.44,1812.75,2809.76,2094.76,Greek yogurt,Burrito bowl,Tofu curry,Nuts and fruits
24,Female,174,70,63,12,23.12,1506.5,2335.08,1693.41,Pancakes,Pasta with veggies,Salmon and quinoa,Dark chocolate
21,Female,199,79,78,11,19.95,1767.75,2740.01,2640.01,Greek yogurt,Pasta with veggies,Chicken soup,Cheese and crackers
62,Male,178,62,53,23,19.57,1427.5,2212.62,1782.19,Eggs and toast,Rice and beans,Vegetable stir-fry,Dark chocolate
28,Male,188,83,82,24,23.48,1870.0,2898.5,2852.67,Greek yogurt,Burrito bowl,Chicken soup,Hummus with carrots
46,Male,180,53,51,21,16.36,1430.0,2216.5,2111.74,Oatmeal with fruits,Burrito bowl,Salmon and quinoa,Dark chocolate
53,Female,196,77,78,16,20.04,1569.0,2431.95,2500.7,Greek yogurt,Burrito bowl,Salmon and quinoa,Cheese and crackers
42,Male,192,108,100,19,29.3,2075.0,3216.25,2753.09,Smoothie,Grilled chicken salad,Steak with veggies,Nuts and fruits
38,Female,199,76,78,12,19.19,1652.75,2561.76,2745.1,Eggs and toast,Pasta with veggies,Vegetable stir-fry,Protein bar
53,Male,172,118,114,15,39.89,1995.0,3092.25,2798.92,Greek yogurt,Burrito bowl,Salmon and quinoa,Hummus with carrots
27,Female,193,74,60,15,19.87,1650.25,2557.89,1531.22,Oatmeal with fruits,Grilled chicken salad,Tofu curry,Cheese and crackers
54,Male,187,52,43,9,14.87,1423.75,2206.81,1106.81,Eggs and toast,Rice and beans,Vegetable stir-fry,Hummus with carrots
26,Male,169,117,105,22,40.96,2101.25,3256.94,2656.94,Oatmeal with fruits,Burrito bowl,Vegetable stir-fry,Dark chocolate
41,Male,172,74,60,10,25.01,1615.0,2503.25,963.25,Pancakes,Burrito bowl,Tofu curry,Hummus with carrots
52,Female,194,69,62,6,18.33,1481.5,2296.33,1012.99,Smoothie,Grilled chicken salad,Chicken soup,Cheese and crackers
52,Female,165,83,81,19,30.49,1440.25,2232.39,2116.6,Pancakes,Pasta with veggies,Tofu curry,Protein bar
53,Male,199,75,72,21,18.94,1733.75,2687.31,2530.17,Smoothie,Rice and beans,Tofu curry,Protein bar
35,Male,191,54,44,19,14.8,1563.75,2423.81,1844.87,Greek yogurt,Burrito bowl,Chicken soup,Hummus with carrots
56,Female,157,110,97,10,44.63,1640.25,2542.39,1112.39,Eggs and toast,Pasta with veggies,Chicken soup,Nuts and fruits
49,Female,199,58,48,7,14.65,1417.75,2197.51,626.08,Greek yogurt,Rice and beans,Chicken soup,Hummus with carrots
41,Female,170,99,98,11,34.26,1686.5,2614.08,2514.08,Smoothie,Sushi,Chicken soup,Dark chocolate
40,Male,150,55,47,16,24.44,1292.5,2003.38,1453.38,Smoothie,Sushi,Chicken soup,Protein bar
49,Female,157,109,101,16,44.22,1665.25,2581.14,2031.14,Smoothie,Rice and beans,Tofu curry,Protein bar
54,Male,178,93,95,20,29.35,1777.5,2755.12,2865.12,Oatmeal with fruits,Grilled chicken salad,Steak with veggies,Protein bar
29,Female,181,60,51,20,18.31,1425.25,2209.14,1714.14,Eggs and toast,Rice and beans,Steak with veggies,Nuts and fruits
30,Male,187,115,118,8,32.89,2173.75,3369.31,3781.81,Greek yogurt,Rice and beans,Salmon and quinoa,Nuts and fruits
40,Female,154,96,97,9,40.48,1561.5,2420.33,2542.55,Greek yogurt,Grilled chicken salad,Steak with veggies,Cheese and crackers
42,Female,196,52,57,22,13.54,1374.0,2129.7,2379.7,Pancakes,Grilled chicken salad,Steak with veggies,Hummus with carrots
52,Female,171,79,82,16,27.02,1437.75,2228.51,2434.76,Smoothie,Pasta with veggies,Tofu curry,Hummus with carrots
58,Female,196,70,61,17,18.22,1474.0,2284.7,1702.35,Smoothie,Pasta with veggies,Chicken soup,Dark chocolate
47,Female,183,77,75,25,22.99,1517.75,2352.51,2264.51,Smoothie,Grilled chicken salad,Chicken soup,Protein bar
34,Male,150,111,113,7,49.33,1882.5,2917.88,3232.16,Greek yogurt,Sushi,Tofu curry,Nuts and fruits
37,Female,175,82,86,10,26.78,1567.75,2430.01,2870.01,Pancakes,Sushi,Steak with veggies,Dark chocolate
42,Female,192,84,80,11,22.79,1669.0,2586.95,2186.95,Oatmeal with fruits,Rice and beans,Tofu curry,Dark chocolate
39,Female,159,101,103,16,39.95,1647.75,2554.01,2691.51,Eggs and toast,Burrito bowl,Salmon and quinoa,Nuts and fruits
30,Male,179,83,86,9,25.9,1803.75,2795.81,3162.48,Oatmeal with fruits,Rice and beans,Chicken soup,Hummus with carrots
36,Female,199,90,94,9,22.73,1802.75,2794.26,3283.15,Greek yogurt,Rice and beans,Vegetable stir-fry,Protein bar
53,Male,167,100,89,24,35.86,1783.75,2764.81,2260.65,Smoothie,Burrito bowl,Salmon and quinoa,Hummus with carrots
29,Female,166,96,82,6,34.84,1691.5,2621.82,55.16,Eggs and toast,Grilled chicken salad,Salmon and quinoa,Dark chocolate
58,Female,175,107,100,6,34.94,1712.75,2654.76,1371.43,Greek yogurt,Sushi,Tofu curry,Protein bar
36,Male,157,106,107,16,43.0,1866.25,2892.69,2961.44,Greek yogurt,Rice and beans,Steak with veggies,Cheese and crackers
29,Female,196,72,69,25,18.74,1639.0,2540.45,2408.45,Greek yogurt,Burrito bowl,Chicken soup,Dark chocolate
26,Male,189,97,97,5,27.15,2026.25,3140.69,3140.69,Eggs and toast,Pasta with veggies,Vegetable stir-fry,Hummus with carrots
24,Male,198,71,72,19,18.11,1832.5,2840.38,2898.27,Eggs and toast,Rice and beans,Salmon and quinoa,Hummus with carrots
45,Female,161,66,62,25,25.46,1280.25,1984.39,1808.39,Pancakes,Sushi,Vegetable stir-fry,Hummus with carrots
31,Male,176,118,116,9,38.09,2130.0,3301.5,3057.06,Pancakes,Grilled chicken salad,Steak with veggies,Nuts and fruits
48,Female,157,60,59,11,24.34,1180.25,1829.39,1729.39,Oatmeal with fruits,Rice and beans,Steak with veggies,Dark chocolate
36,Female,174,64,63,11,21.14,1386.5,2149.08,2049.08,Eggs and toast,Rice and beans,Vegetable stir-fry,Protein bar
64,Male,195,84,84,9,22.09,1743.75,2702.81,2702.81,Eggs and toast,Burrito bowl,Chicken soup,Hummus with carrots
33,Male,153,82,68,17,35.03,1616.25,2505.19,1599.31,Eggs and toast,Pasta with veggies,Steak with veggies,Hummus with carrots
22,Male,182,65,68,6,19.62,1682.5,2607.88,3157.88,Pancakes,Pasta with veggies,Vegetable stir-fry,Nuts and fruits
52,Male,150,83,70,13,36.89,1512.5,2344.38,1244.38,Greek yogurt,Grilled chicken salad,Salmon and quinoa,Protein bar
29,Female,168,115,106,6,40.75,1894.0,2935.7,1285.7,Smoothie,Sushi,Vegetable stir-fry,Dark chocolate
42,Female,180,89,91,15,27.47,1644.0,2548.2,2694.87,Pancakes,Grilled chicken salad,Vegetable stir-fry,Cheese and crackers
38,Male,165,77,71,20,28.28,1616.25,2505.19,2175.19,Eggs and toast,Rice and beans,Tofu curry,Nuts and fruits
53,Female,163,96,96,8,36.13,1552.75,2406.76,2406.76,Pancakes,Rice and beans,Steak with veggies,Dark chocolate
40,Female,197,88,75,23,22.68,1750.25,2712.89,2091.15,Oatmeal with fruits,Pasta with veggies,Chicken soup,Cheese and crackers
33,Female,154,119,121,12,50.18,1826.5,2831.08,3014.41,Eggs and toast,Sushi,Chicken soup,Hummus with carrots
56,Female,190,69,60,24,19.11,1436.5,2226.58,1814.08,Oatmeal with fruits,Burrito bowl,Tofu curry,Hummus with carrots
62,Male,175,50,47,23,16.33,1288.75,1997.56,1854.08,Eggs and toast,Sushi,Chicken soup,Protein bar
59,Male,177,112,113,10,35.75,1936.25,3001.19,3111.19,Pancakes,Rice and beans,Vegetable stir-fry,Cheese and crackers
56,Female,151,116,109,25,50.87,1662.75,2577.26,2269.26,Greek yogurt,Burrito bowl,Tofu curry,Hummus with carrots
31,Male,199,53,41,7,13.38,1623.75,2516.81,631.1,Smoothie,Sushi,Salmon and quinoa,Hummus with carrots
48,Male,155,107,108,16,44.54,1803.75,2795.81,2864.56,Oatmeal with fruits,Sushi,Steak with veggies,Protein bar
22,Male,158,74,64,16,29.64,1622.5,2514.88,1827.38,Pancakes,Burrito bowl,Steak with veggies,Dark chocolate
52,Female,182,96,83,13,28.98,1676.5,2598.58,1498.58,Greek yogurt,Rice and beans,Steak with veggies,Hummus with carrots
40,Female,190,87,79,21,24.1,1696.5,2629.58,2210.53,Pancakes,Sushi,Vegetable stir-fry,Nuts and fruits
46,Female,174,64,54,20,21.14,1336.5,2071.58,1521.58,Oatmeal with fruits,Burrito bowl,Salmon and quinoa,Nuts and fruits
60,Male,197,112,103,23,28.86,2056.25,3187.19,2756.75,Smoothie,Rice and beans,Tofu curry,Dark chocolate
28,Female,162,70,72,23,26.67,1411.5,2187.83,2283.48,Pancakes,Burrito bowl,Tofu curry,Cheese and crackers
35,Female,158,106,105,16,42.46,1711.5,2652.82,2584.08,Eggs and toast,Burrito bowl,Steak with veggies,Protein bar
64,Male,162,102,92,20,38.87,1717.5,2662.12,2112.12,Greek yogurt,Sushi,Salmon and quinoa,Nuts and fruits
29,Female,180,95,93,25,29.32,1769.0,2741.95,2653.95,Pancakes,Rice and beans,Salmon and quinoa,Nuts and fruits
26,Female,190,63,52,7,17.45,1526.5,2366.08,637.5,Greek yogurt,Sushi,Salmon and quinoa,Dark chocolate
27,Male,160,66,56,4,25.78,1530.0,2371.5,-378.5,Eggs and toast,Grilled chicken salad,Chicken soup,Cheese and crackers
61,Male,153,88,84,4,37.59,1536.25,2381.19,1281.19,Smoothie,Grilled chicken salad,Chicken soup,Cheese and crackers
34,Male,183,58,54,18,17.32,1558.75,2416.06,2171.62,Smoothie,Rice and beans,Steak with veggies,Dark chocolate
55,Female,187,55,59,16,15.73,1282.75,1988.26,2263.26,Eggs and toast,Burrito bowl,Salmon and quinoa,Nuts and fruits
24,Female,195,72,69,20,18.93,1657.75,2569.51,2404.51,Greek yogurt,Sushi,Salmon and quinoa,Protein bar
63,Female,153,108,97,11,46.14,1560.25,2418.39,1318.39,Pancakes,Sushi,Tofu curry,Nuts and fruits
30,Male,187,95,90,21,27.17,1973.75,3059.31,2797.41,Eggs and toast,Rice and beans,Tofu curry,Cheese and crackers
57,Male,168,87,83,16,30.82,1640.0,2542.0,2267.0,Oatmeal with fruits,Rice and beans,Steak with veggies,Nuts and fruits
59,Female,155,63,52,17,26.22,1142.75,1771.26,1059.5,Greek yogurt,Grilled chicken salad,Salmon and quinoa,Protein bar
26,Female,183,111,113,11,33.15,1962.75,3042.26,3242.26,Smoothie,Pasta with veggies,Steak with veggies,Hummus with carrots
44,Male,167,84,74,11,30.12,1668.75,2586.56,1586.56,Eggs and toast,Rice and beans,Tofu curry,Nuts and fruits
19,Male,162,68,54,18,25.91,1602.5,2483.88,1628.32,Smoothie,Pasta with veggies,Tofu curry,Dark chocolate
22,Male,190,79,70,16,21.88,1872.5,2902.38,2283.62,Greek yogurt,Rice and beans,Chicken soup,Hummus with carrots
46,Male,172,74,75,10,25.01,1590.0,2464.5,2574.5,Smoothie,Burrito bowl,Steak with veggies,Dark chocolate
54,Female,168,89,89,8,31.53,1509.0,2338.95,2338.95,Eggs and toast,Burrito bowl,Steak with veggies,Dark chocolate
55,Male,194,63,52,20,16.74,1572.5,2437.38,1832.38,Greek yogurt,Grilled chicken salad,Salmon and quinoa,Dark chocolate
36,Female,160,75,80,19,29.3,1409.0,2183.95,2473.42,Oatmeal with fruits,Grilled chicken salad,Salmon and quinoa,Nuts and fruits
25,Female,150,71,58,5,31.56,1361.5,2110.33,-749.67,Eggs and toast,Pasta with veggies,Chicken soup,Cheese and crackers
62,Female,173,97,99,25,32.41,1580.25,2449.39,2537.39,Pancakes,Rice and beans,Vegetable stir-fry,Hummus with carrots
18,Male,156,100,89,21,41.09,1890.0,2929.5,2353.31,Eggs and toast,Sushi,Vegetable stir-fry,Protein bar
39,Male,174,52,49,20,17.18,1417.5,2197.12,2032.12,Greek yogurt,Grilled chicken salad,Vegetable stir-fry,Cheese and crackers
34,Male,170,91,95,10,31.49,1807.5,2801.62,3241.62,Eggs and toast,Sushi,Steak with veggies,Nuts and fruits
24,Male,164,68,66,16,25.28,1590.0,2464.5,2327.0,Oatmeal with fruits,Sushi,Steak with veggies,Dark chocolate
42,Female,150,77,68,21,34.22,1336.5,2071.58,1600.15,Oatmeal with fruits,Rice and beans,Tofu curry,Protein bar
62,Male,161,94,93,17,36.26,1641.25,2543.94,2479.23,Pancakes,Pasta with veggies,Steak with veggies,Hummus with carrots
21,Male,156,112,112,21,46.02,1995.0,3092.25,3092.25,Smoothie,Rice and beans,Steak with veggies,Cheese and crackers
53,Female,164,68,73,16,25.28,1279.0,1982.45,2326.2,Greek yogurt,Grilled chicken salad,Steak with veggies,Cheese and crackers
23,Male,170,96,87,14,33.22,1912.5,2964.38,2257.23,Greek yogurt,Sushi,Chicken soup,Protein bar
48,Female,168,63,62,24,22.32,1279.0,1982.45,1936.62,Smoothie,Rice and beans,Steak with veggies,Nuts and fruits
36,Female,178,87,76,24,27.46,1641.5,2544.33,2040.16,Oatmeal with fruits,Rice and beans,Salmon and quinoa,Hummus with carrots
61,Female,174,102,106,19,33.69,1641.5,2544.33,2775.9,Oatmeal with fruits,Rice and beans,Salmon and quinoa,Protein bar
56,Female,182,110,107,20,33.21,1796.5,2784.58,2619.58,Eggs and toast,Grilled chicken salad,Tofu curry,Dark chocolate
44,Female,198,85,82,11,21.68,1706.5,2645.08,2345.08,Pancakes,Pasta with veggies,Chicken soup,Hummus with carrots
27,Female,181,89,82,22,27.17,1725.25,2674.14,2324.14,Pancakes,Rice and beans,Salmon and quinoa,Cheese and crackers
43,Female,198,79,79,23,20.15,1651.5,2559.83,2559.83,Pancakes,Grilled chicken salad,Chicken soup,Protein bar
36,Female,184,58,58,18,17.13,1389.0,2152.95,2152.95,Eggs and toast,Sushi,Chicken soup,Cheese and crackers
56,Male,193,113,99,12,30.34,2061.25,3194.94,1911.6,Pancakes,Burrito bowl,Tofu curry,Cheese and crackers
20,Male,187,82,68,23,23.45,1893.75,2935.31,2265.75,Smoothie,Grilled chicken salad,Chicken soup,Cheese and crackers
62,Male,175,101,104,13,32.98,1798.75,2788.06,3041.91,Eggs and toast,Burrito bowl,Steak with veggies,Nuts and fruits
30,Male,160,63,52,15,24.61,1485.0,2301.75,1495.08,Smoothie,Rice and beans,Chicken soup,Cheese and crackers
45,Female,184,102,91,24,30.13,1784.0,2765.2,2261.03,Eggs and toast,Rice and beans,Tofu curry,Dark chocolate
37,Male,157,108,102,23,43.82,1881.25,2915.94,2628.98,Pancakes,Grilled chicken salad,Tofu curry,Dark chocolate
45,Female,195,90,80,4,23.67,1732.75,2685.76,-64.24,Smoothie,Burrito bowl,Tofu curry,Hummus with carrots
25,Male,163,117,108,23,44.04,2068.75,3206.56,2776.13,Smoothie,Rice and beans,Salmon and quinoa,Cheese and crackers
58,Male,159,117,110,12,46.28,1878.75,2912.06,2270.4,Smoothie,Sushi,Steak with veggies,Cheese and crackers
56,Male,151,57,62,25,25.0,1238.75,1920.06,2140.06,Eggs and toast,Pasta with veggies,Salmon and quinoa,Protein bar
18,Female,195,51,40,18,13.41,1477.75,2290.51,1618.29,Greek yogurt,Pasta with veggies,Vegetable stir-fry,Nuts and fruits
